Demographic,Mean Scale Score
Hispanic,658
Black,650
Hispanic,659
Black,659
Hispanic,665
Asian,s
Black,663
Hispanic,664
Black,668
Hispanic,670
Black,684
Hispanic,675
Asian,s
Black,677
Hispanic,680
White,s
Black,641
Hispanic,641
Black,646
Hispanic,674
Black,674
Hispanic,672
Asian,s
Black,711
Hispanic,688
Black,669
Hispanic,670
White,s
Black,688
Hispanic,670
Black,691
Hispanic,680
Asian,s
Black,617
Hispanic,633
Black,646
Hispanic,641
Black,s
Hispanic,678
Black,683
Hispanic,680
Asian,s
Black,661
Hispanic,655
Asian,s
Black,670
Hispanic,668
White,s
Asian,s
Black,670
Hispanic,669
White,s
Black,648
Hispanic,632
White,s
Asian,s
Black,663
Hispanic,653
Asian,s
Black,652
Hispanic,652
Black,657
Hispanic,667
White,s
Asian,s
Black,655
Hispanic,655
Asian,s
Black,677
Hispanic,672
White,s
Asian,s
Black,650
Hispanic,664
White,s
Black,627
Hispanic,620
Asian,s
Black,661
Hispanic,649
White,s
Black,661
Hispanic,660
Asian,s
Black,672
Hispanic,660
Black,652
Hispanic,654
Asian,s
Black,665
Hispanic,669
White,s
Asian,s
Black,661
Hispanic,657
White,s
Black,637
Hispanic,624
White,s
Black,646
Hispanic,649
Asian,s
Black,665
Hispanic,660
White,s
Asian,s
Black,667
Hispanic,666
Asian,s
Black,660
Hispanic,653
Black,640
Hispanic,663
Asian,s
Black,677
Hispanic,686
White,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,s
Black,670
Hispanic,669
White,681
Asian,700
Black,668
Hispanic,672
White,690
Asian,658
Black,657
Hispanic,651
White,s
Asian,s
Black,626
Hispanic,657
Asian,s
Black,666
Hispanic,660
Asian,694
Black,654
Hispanic,663
White,s
Asian,691
Black,637
Hispanic,637
White,s
Asian,s
Black,627
Hispanic,627
Asian,673
Black,626
Hispanic,636
White,s
Asian,677
Black,646
Hispanic,638
Asian,650
Black,665
Hispanic,654
White,s
Asian,s
Black,644
Hispanic,651
White,s
Asian,s
Black,663
Hispanic,656
Asian,673
Black,647
Hispanic,645
White,s
Asian,671
Black,630
Hispanic,639
White,s
Asian,s
Black,630
Hispanic,627
White,s
Asian,674
Black,634
Hispanic,637
White,s
Asian,s
Black,645
Hispanic,645
White,s
Asian,s
Black,651
Hispanic,650
White,s
Asian,666
Black,627
Hispanic,642
White,s
Asian,680
Black,651
Hispanic,644
Asian,682
Black,651
Hispanic,654
White,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,680
Black,645
Hispanic,642
White,s
Asian,680
Black,641
