DBN,SCHOOL NAME,Reading,Math,Writing
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,354,357,373
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,461,514,455
04M495,PARK EAST HIGH SCHOOL,373,379,376
04M555,CENTRAL PARK EAST HIGH SCHOOL,405,421,395
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,432,446,448
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,369,369,357
04M680,"HERITAGE SCHOOL, THE",358,351,345
05M285,HARLEM RENAISSANCE HIGH SCHOOL,357,318,333
05M304,MOTT HALL HIGH SCHOOL,413,399,398
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",s,s,s
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,354,366,342
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,360,353,364
05M469,CHOIR ACADEMY OF HARLEM,354,360,385
05M499,FREDERICK DOUGLASS ACADEMY,458,474,442
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,396,402,404
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,369,361,355
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",605,654,588
06M293,CITY COLLEGE ACADEMY OF THE ARTS,408,446,416
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,362,376,367
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,380,395,399
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,s,s,s
06M457,GEORGE WASHINGTON YABC,394,357,346
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,365,384,378
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,369,380,349
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,363,378,361
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,400,422,402
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,430,456,423
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,339,349,326
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,364,378,348
07X321,CROTONA ACADEMY HIGH SCHOOL,379,364,382
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,310,324,311
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,361,359,357
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,351,375,371
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,403,394,404
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,420,426,411
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,399,396,391
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,362,378,363
07X547,NEW EXPLORERS HIGH SCHOOL,367,356,361
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,387,411,383
07X551,BRONX ACADEMY OF LETTERS,413,381,407
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,394,400,364
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,398,416,370
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,363,368,364
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,s,s
08X282,WOMEN'S ACADEMY OF EXCELLENCE,407,386,378
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,384,385,389
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,416,390,394
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,337,361,340
08X312,MILLENNIUM ART ACADEMY,387,402,375
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,363,371,350
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",s,s,s
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,367,369,376
08X405,HERBERT H. LEHMAN HIGH SCHOOL,412,436,393
08X408,HERBERT H. LEHMAN YABC,402,373,413
08X432,BRONX BRIDGES HIGH SCHOOL,s,s,s
08X452,BRONX GUILD,369,371,365
08X507,STEVENSON YABC,s,s,s
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",373,370,356
08X530,BANANA KELLY HIGH SCHOOL,373,381,377
08X537,BRONX ARENA HIGH SCHOOL,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,366,400,368
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,404,368,399
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,377,359,376
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,324,376,349
09X231,EAGLE ACADEMY FOR YOUNG MEN,373,387,374
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",372,355,357
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",411,464,415
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,393,394,382
09X252,MOTT HALL BRONX HIGH SCHOOL,369,367,356
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,459,480,457
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,356,363,356
09X276,LEADERSHIP INSTITUTE,361,353,367
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,386,386,376
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,s,s,s
09X329,DREAMYARD PREPARATORY SCHOOL,382,365,391
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,315,339,297
09X403,BRONX INTERNATIONAL HIGH SCHOOL,314,312,339
09X404,SCHOOL FOR EXCELLENCE,363,360,351
09X412,BRONX HIGH SCHOOL OF BUSINESS,356,376,351
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,400,419,402
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,379,364,379
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",404,418,402
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,368,384,369
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,384,394,388
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,353,315,371
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),438,455,440
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,373,412,365
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,405,391,394
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",382,393,382
10X243,WEST BRONX ACADEMY FOR THE FUTURE,382,406,370
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,304,356,302
10X284,BRONX SCHOOL OF LAW AND FINANCE,402,395,385
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,s
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,300,333,301
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),390,408,383
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),392,401,387
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),343,356,330
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,370,371,365
10X434,BELMONT PREPARATORY HIGH SCHOOL,404,418,400
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,355,350,372
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,367,385,367
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,366,364,352
10X440,DEWITT CLINTON HIGH SCHOOL,419,426,410
