DBN,SCHOOL,SCHOOL LEVEL,ENVIRONMENT RATING
75R025,South Richmond High School I.S./P.S. 25,Middle,7.5
75R373,P.S. R373,Elementary,9.8
75X010,P.S. X010,Elementary,10.7
75X017,P.S. X017,K-8,9.3
75X168,P.S. 168,K-8,11.9
75X186,P186X Walter J. Damrosch School,K-8,13.7
75X188,P.S. X188,Middle,6.8
75X352,The Vida Bogart School for All Children,Elementary,3.5
75X723,P.S. 723,Middle,10.4
84K355,Williamsburg Collegiate Charter School,Middle,14.5
84K355,Williamsburg Collegiate Charter School,High School,
84K356,Achievement First- Crown Heights Charter School,K-8,9.2
84K356,Achievement First- Crown Heights Charter School,High School,
84K357,KIPP AMP Charter School,Middle,8.4
84K358,Achievement First East New York School,Elementary,10.4
84K359,The Uft Charter School,K-8,5.3
84K359,The Uft Charter School,High School,
84K362,Hellenic Classical Charter School,K-8,12.5
84K473,Williamsburg Charter High School,High School,7.1
84K508,Achievement First Endeavor Charter School,Middle,11
84K517,Leadership Prep Bedford Stuyvesant Charter School,Elementary,13.7
84K536,Community Roots Charter School,Elementary,12.7
84K538,Achievement First Bushwick Charter School,K-8,12.6
84K593,Excellence Charter School of Bedford Stuyvesant,K-8,11.3
84K608,Kings Collegiate Charter School,Middle,10.4
84K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,K-3,11.6
84K648,Bedford Stuyvesant Collegiate Charter School,Middle,14.2
84K649,La Cima Charter School,K-3,3.8
84K651,PAVE Academy Charter School,K-3,9.4
84K652,Brooklyn Ascend Charter School,Elementary,8.1
84K693,Believe Northside Charter High School,High School,
84K694,Believe Southside Charter High School,High School,
84K701,Brooklyn Charter School,Elementary,12.5
84K702,Community Partnership Charter,Elementary,5.9
84K703,Beginning With Children Charter School,K-8,8.8
84K704,Explore Charter School,K-8,9.7
84K707,Brooklyn Prospect Charter School,Middle,11.2
84K710,Brownsville Collegiate Charter School,Middle,13.3
84K726,Fahari Academy Charter School,Middle,7.4
84K730,Summit Academy Charter School,Middle,12.2
84K731,Brooklyn Excelsior Charter,K-8,8.3
84K740,Brooklyn Scholars Charter School,Elementary,11.9
84K742,Explore Empower Charter School,K-3,9.9
84K744,Coney Island Preparatory Public Charter School,Middle,12.9
84K777,Ocean Hill Collegiate Charter School,Middle,
84K780,Brooklyn East Collegiate Charter School,Middle,
84K782,Bedford Stuyvesant New Beginnings Charter School,K-3,
84K791,Brooklyn Dreams Charter School,K-3,
84M279,The Opportunity Charter School,Middle,6
84M279,The Opportunity Charter School,High School,
84M284,Harlem Children's Zone/Promise Academy Charter Sch,K-8,10.7
84M284,Harlem Children's Zone/Promise Academy Charter School,High School,
84M320,Manhattan Charter School,Elementary,8.4
84M329,Harlem Link Charter School,Elementary,5.4
84M330,Girls Preparatory Charter School of New York,Elementary,4.4
84M335,Harlem Village Academies Leadership Charter School,Middle,14.7
84M335,Harlem Village Academies Leadership Charter School,High School,
84M336,KIPP Infinity Charter School,Middle,13.7
84M341,Harlem Children's Zone/Promise Academy II,Elementary,6.7
84M350,Democracy Preparatory Charter School,Middle,11.7
84M350,Democracy Preparatory Charter School,High School,
84M351,Harlem Success Academy 1 Charter School,Elementary,11.4
84M353,New Heights Academy Charter School,Middle,7.5
84M353,New Heights Academy Charter School,High School,9.1
84M355,Ross Global Academy Charter School,K-8,
84M382,DREAM Charter School,K-3,11.1
84M384,Harlem Success Academy 2 Charter School,K-3,11.8
84M385,Harlem Success Academy 3 Charter School,K-3,12.8
84M386,Harlem Success Academy 4 Charter School,K-3,11.8
84M388,St. HOPE Leadership Academy Charter School,Middle,8.4
84M430,The Equity Project Charter School (TEP),Middle,14.3
84M433,The Renaissance Charter High School for Innovation,High School,
84M478,Inwood Academy for Leadership Charter School,Middle,
84M481,Democracy Preparatory Harlem Charter School,Middle,
84M702,The Sisulu-Walker Charter School of Harlem,Elementary,6.1
84M704,Harbor Sciences and Arts Charter School,K-8,10.1
84M705,Amber Charter School,Elementary,6.6
84M707,John V. Lindsay Wildcat Academy Charter School,Transfer High School,7.2
84M708,Harlem Day Charter School,Elementary,5.1
84M709,Harlem Village Academy Charter School,Middle,14.5
84M709,Harlem Village Academy Charter School,High School,12.5
84M726,KIPP S.T.A.R. Charter School,Middle,10.7
84M861,Future Leaders Institute Charter School,K-8,4
84Q170,Peninsula Preparatory Academy Charter School,Elementary,7.5
84Q304,VOICE Charter School of New York,K-3,10.6
84Q341,Riverton Street Charter School,K-3,
84Q704,Merrick Academy Charter School,Elementary,3.2
84Q705,"Renaissance Charter School, The",K-8,6.8
84Q705,"Renaissance Charter School, The",High School,9.8
84Q706,Our World Neighborhood Charter,K-8,8
84R067,John W. Lavelle Preparatory Charter School,Middle,13.9
84R073,New World Preparatory Charter School,Middle,
84X165,Grand Concourse Charter School,Elementary,11.9
84X185,The Bronx Lighthouse Charter School,K-8,8.7
84X255,Bronx Charter School for Excellence,Elementary,11.9
84X309,South Bronx Charter School For Int'L Culture & The,Elementary,10.6
84X345,Hyde Leadership Charter School,K-8,10
84X345,Hyde Leadership Charter School,High School,
84X346,South Bronx Classical Charter School,Elementary,10.5
84X347,International Leadership Charter School,High School,11.9
84X378,Icahn Charter School 2,Elementary,12.2
84X389,Bronx Global Learning Institute for Girls Charter,K-3,8.9
84X393,Green Dot NY Charter School,High School,
84X394,Mott Haven Academy Charter School,K-3,9.5
84X395,"NYC CHARTER HIGH SCHOOL FOR ARCHITECTURE, ENGINEERING AND CONSTRUCTION INDUSTRIES",High School,
84X398,Bronx Community Charter School,K-3,12.4
84X407,Bronx Charter School for Children,Elementary,8
84X419,Bronx Academy of Promise Charter School,Elementary,11.9
84X422,Icahn Charter School 3,Elementary,7.4
84X482,Dr. Izquierdo Health and Science Charter School,Middle,
84X488,The Equality Charter School,Middle,10.2
84X496,Icahn Charter School 4,K-3,14.2
84X703,Bronx Prep Charter School,Middle,9.8
84X703,Bronx Prep Charter School,High School,10.1
84X704,KIPP NYC College Prep,Middle,13.3
84X704,KIPP NYC College Prep,High School,
84X705,Family Life Academy Charter School,K-8,14.2
84X706,Harriet Tubman Charter School,K-8,8.9
84X717,Icahn Charter School,K-8,11.4
84X718,Bronx Charter School for Better Learning,Elementary,9.8
84X730,Bronx Charter School for Arts,Elementary,8.3
